speech_index_1,speech_index_2,cosine_distance,euclidean_distance
0.0,73.0,0.153722882270813,1.549009084701538
40.0,21.0,0.2302899956703186,1.8485187292099
61.0,5.0,0.3136003613471985,2.2253851890563965
39.0,51.0,0.3196789622306824,2.260591745376587
3.0,89.0,0.3275822401046753,2.1972239017486572
55.0,17.0,0.33101314306259155,2.261371612548828
60.0,3.0,0.33102917671203613,2.233067750930786
25.0,40.0,0.3431317210197449,2.2955849170684814
29.0,24.0,0.34370899200439453,2.377403974533081
23.0,57.0,0.3529762625694275,2.4223110675811768
3.0,45.0,0.35904383659362793,2.27215313911438
56.0,34.0,0.3593200445175171,2.398982524871826
39.0,26.0,0.3604816198348999,2.4357118606567383
25.0,22.0,0.36271530389785767,2.3463211059570312
39.0,16.0,0.36321717500686646,2.4857280254364014
53.0,12.0,0.36638134717941284,2.3432931900024414
39.0,24.0,0.36777371168136597,2.4249961376190186
5.0,84.0,0.3715094327926636,2.2883200645446777
3.0,8.0,0.37307435274124146,2.372046709060669
28.0,39.0,0.37361401319503784,2.3423609733581543
12.0,36.0,0.3751114010810852,2.3344621658325195
3.0,49.0,0.3758377432823181,2.331176280975342
11.0,28.0,0.37647944688796997,2.379246473312378
41.0,22.0,0.3783414959907532,2.437523603439331
14.0,24.0,0.37975388765335083,2.4797139167785645
33.0,7.0,0.37997472286224365,2.478928804397583
7.0,45.0,0.3819695711135864,2.36850643157959
80.0,9.0,0.38255518674850464,2.3112893104553223
5.0,58.0,0.3839138150215149,2.3467295169830322
81.0,9.0,0.3848908543586731,2.4452269077301025
19.0,67.0,0.3850706219673157,2.4029624462127686
68.0,16.0,0.3854924440383911,2.4890220165252686
25.0,27.0,0.3856695890426636,2.35375714302063
64.0,1.0,0.3879894018173218,2.44553804397583
52.0,41.0,0.39123451709747314,2.416245222091675
39.0,28.0,0.3933202624320984,2.507739782333374
41.0,11.0,0.39359819889068604,2.45253324508667
60.0,29.0,0.3943069577217102,2.418362855911255
5.0,74.0,0.3968585133552551,2.325637102127075
